slno,Date,HS Code,Product Description,Consignee Name,Shipper Name,Consignee Address 1 ,Consignee Address 2,Shipper Address1 ,Shipper Address 2 ,Standard Qty,Standard Unit,Standard Unit Rate $,Tax %,Estimated CIF Value $,Unit Rate $,Port of Destination,Country of Origin,QTY,Unit,Rate In FC,Rate Currency,Tax $,Landed Value $,Month,HS2,HS4,Consignee City,Consignee Pincode,Consignee State,Consignee Phone,Consignee E-mail,Contact Person,Shipper City,Shipper Country,Notify Party,BL TYP,Shipment Mode,Port Of Origin,HS Description,Raw Consignee Name,Raw Shipper Name,Raw Consignee Add1,Raw Consignee Add2,Raw Shipper Address1,Raw Shipper Address2,Raw Consignee City,Raw Consignee Pincode,Raw Consignee State,Raw Consignee Phone,Raw Consignee E-mail,Record Id
209,16-06-2023,85258900,16642965 FUJIFILM DIGITAL CAMERA X100V SILVER FF190003,FUJIFILM INDIA PRIVATE LIMITED,FUJIFILM CORPORATION,"BUSINESS CENTRE OFF NO 521 LEVEL V ,CADDIE COMMC TOWER HOSPITALITY DISAEROCITY IGI AIRPORT,",NA,"26-30, NISHIAZABU 2-CHOME MINATO-KUTOKYO 106-8620, JAPAN ",NA,4,NOS,693.548,17.99999324,2774.19,693.55,Delhi Air,Japan,4,PCS,57298,INR,490.35,3264.54,Jun-2023,85,8525,NEW DELHI,110037,DELHI,NA,amit.kumar@fujifilm.com,MASAKI  ZENKO,NA,NA,NA,HC,Air,Not Available,"Transmission apparatus for radio-telephony, radio-telegraph, radio-broadcasting or television, whether or not incorporating reception apparatus or sound recording or reproducing apparatus; Television cameras; still-mage video cameras and other video camer",FUJIFILM INDIA PRIVATE LIMITED,FUJIFILM CORPORATION,"BUSINESS CENTRE OFF NO 521 LEVEL V ,CADDIE COMMC TOWER HOSPITALITY DISAEROCITY IGI AIRPORT,",NA,"26-30, NISHIAZABU 2-CHOME MINATO-KUTOKYO 106 - 8620 TOKYO   ",NA,NEW DELHI,110037,DELHI,NA,amit.kumar@fujifilm.com,42794332
210,16-06-2023,90021100,16664339 FUJINON LENS F XF50MMF1.0 R WR LENS FOR FUJIFILM DIGITAL CAMERA,FUJIFILM INDIA PRIVATE LIMITED,FUJIFILM CORPORATION,"BUSINESS CENTRE OFF NO 521 LEVEL V ,CADDIE COMMC TOWER HOSPITALITY DISAEROCITY IGI AIRPORT,",NA,"26-30, NISHIAZABU 2-CHOME MINATO-KUTOKYO 106-8620, JAPAN ",NA,1,NOS,796.16,18.00002164,796.16,796.16,Delhi Air,Japan,1,PCS,66984,INR,143.32,939.48,Jun-2023,90,9002,NEW DELHI,110037,DELHI,NA,amit.kumar@fujifilm.com,MASAKI  ZENKO,NA,NA,NA,HC,Air,Not Available,"LENSES, PRISMS, MIRRORS AND OTHER OPTICAL ELEMENTS, OF ANY MATERIAL, MOUNTED, BEING PARTS OF OR FITTINGS FOR INSTRUMENTS OR APPARATUS, OTHER THAN SUCH ELEMENTS OF GLASS NOT OPTICALLY WORKED",FUJIFILM INDIA PRIVATE LIMITED,FUJIFILM CORPORATION,"BUSINESS CENTRE OFF NO 521 LEVEL V ,CADDIE COMMC TOWER HOSPITALITY DISAEROCITY IGI AIRPORT,",NA,"26-30, NISHIAZABU 2-CHOME MINATO-KUTOKYO 106 - 8620 TOKYO   ",NA,NEW DELHI,110037,DELHI,NA,amit.kumar@fujifilm.com,42794334
211,16-06-2023,85258900,6052C015AA EOS R100 RF-S18-45mm IS STM DS126891ETA SD-20230201293BIS R-41186600DIGITAL STILL IMAGE VIDEO CAMERA,CANON INDIA PRIVATE LIMITED,CANON SINGAPORE PTE LTD,"UNIT NO. 214-218 2ND FLR,NARAIN MA NZIL, B.K. ROAD, C.P.",NA,"(SUPPLY CHAIN MGMT DIVISION) 1,FUSIONOPOLIS PLACE, #15-10 GALAXIS, Singapore - 138522, SINGAPORE, Singapo  Singapore",NA,210,NOS,379.148,17.99999944,79621.11,379.15,Delhi Air,Japan,210,NOS,31170,INR,14331.8,93952.91,Jun-2023,85,8525,Delhi,110001,DELHI,919990253928,ciplinbound@canon.co.in,KAZUTADA KOBAYASHI                 ,NA,NA,NA,HC,Air,Not Available,"Transmission apparatus for radio-telephony, radio-telegraph, radio-broadcasting or television, whether or not incorporating reception apparatus or sound recording or reproducing apparatus; Television cameras; still-mage video cameras and other video camer",CANON INDIA PRIVATE LIMITED,CANON SINGAPORE PTE LTD,"UNIT NO. 214-218 2ND FLR,NARAIN MA NZIL, B.K. ROAD, C.P.",NA,"(SUPPLY CHAIN MGMT DIVISION) 1,FUSIONOPOLIS PLACE, #15-10 GALAXIS, Singapore - 138522, SINGAPORE, Singapo  Singapore",NA,Delhi,110001,DELHI,919990253928,ciplinbound@canon.co.in,42560534
212,16-06-2023,85258900,6052C015AA EOS R100 RF-S18-45mm IS STM DS126891ETA SD-20230201293BIS R-41186600,CANON INDIA PRIVATE LIMITED,CANON SINGAPORE PTE LTD,"UNIT NO. 214-218 2ND FLR,NARAIN MA NZIL, B.K. ROAD, C.P.",NA,"(SUPPLY CHAIN MGMT DIVISION) 1,FUSIONOPOLIS PLACE, #15-10 GALAXIS, Singapore - 138522, SINGAPORE, Singapo  Singapore",NA,144,NOS,376.504,17.99999984,54216.59,376.5,Delhi Air,Japan,144,NOS,31170,INR,9758.98,63975.57,Jun-2023,85,8525,Delhi,110001,DELHI,919990253928,ciplinbound@canon.co.in,KAZUTADA KOBAYASHI                 ,NA,NA,NA,HC,Air,Not Available,"Transmission apparatus for radio-telephony, radio-telegraph, radio-broadcasting or television, whether or not incorporating reception apparatus or sound recording or reproducing apparatus; Television cameras; still-mage video cameras and other video camer",CANON INDIA PRIVATE LIMITED,CANON SINGAPORE PTE LTD,"UNIT NO. 214-218 2ND FLR,NARAIN MA NZIL, B.K. ROAD, C.P.",NA,"(SUPPLY CHAIN MGMT DIVISION) 1,FUSIONOPOLIS PLACE, #15-10 GALAXIS, Singapore - 138522, SINGAPORE, Singapo  Singapore",NA,Delhi,110001,DELHI,919990253928,ciplinbound@canon.co.in,41903024
213,16-06-2023,90021100,16481892 XF1.4X TC WR LENS FOR FUJIFILM DIGITAL CAMERA,FUJIFILM INDIA PRIVATE LIMITED,FUJIFILM CORPORATION,"BUSINESS CENTRE OFF NO 521 LEVEL V ,CADDIE COMMC TOWER HOSPITALITY DISAEROCITY IGI AIRPORT,",NA,"26-30, NISHIAZABU 2-CHOME MINATO-KUTOKYO 106-8620, JAPAN ",NA,2,NOS,238.23,17.999894,476.46,238.23,Delhi Air,Japan,2,PCS,20043,INR,85.76,562.22,Jun-2023,90,9002,NEW DELHI,110037,DELHI,NA,amit.kumar@fujifilm.com,MASAKI  ZENKO,NA,NA,NA,HC,Air,Not Available,"LENSES, PRISMS, MIRRORS AND OTHER OPTICAL ELEMENTS, OF ANY MATERIAL, MOUNTED, BEING PARTS OF OR FITTINGS FOR INSTRUMENTS OR APPARATUS, OTHER THAN SUCH ELEMENTS OF GLASS NOT OPTICALLY WORKED",FUJIFILM INDIA PRIVATE LIMITED,FUJIFILM CORPORATION,"BUSINESS CENTRE OFF NO 521 LEVEL V ,CADDIE COMMC TOWER HOSPITALITY DISAEROCITY IGI AIRPORT,",NA,"26-30, NISHIAZABU 2-CHOME MINATO-KUTOKYO 106 - 8620 TOKYO   ",NA,NEW DELHI,110037,DELHI,NA,amit.kumar@fujifilm.com,42794322
214,16-06-2023,85258900,5803C005AA EOS R8 BODY BIS R-41193771 ETA-SD-20221008693DIGITAL STILL IMAGE VIDEO CAMERA,CANON INDIA PRIVATE LIMITED,CANON SINGAPORE PTE LTD,"UNIT NO. 214-218 2ND FLR,NARAIN MA NZIL, B.K. ROAD, C.P.",NA,"(SUPPLY CHAIN MGMT DIVISION) 1,FUSIONOPOLIS PLACE, #15-10 GALAXIS, Singapore - 138522, SINGAPORE, Singapo  Singapore",NA,48,NOS,940.244,17.99999949,45131.7,940.24,Delhi Air,Japan,48,NOS,77298,INR,8123.7,53255.4,Jun-2023,85,8525,Delhi,110001,DELHI,919990253928,ciplinbound@canon.co.in,KAZUTADA KOBAYASHI                 ,NA,NA,NA,HC,Air,Not Available,"Transmission apparatus for radio-telephony, radio-telegraph, radio-broadcasting or television, whether or not incorporating reception apparatus or sound recording or reproducing apparatus; Television cameras; still-mage video cameras and other video camer",CANON INDIA PRIVATE LIMITED,CANON SINGAPORE PTE LTD,"UNIT NO. 214-218 2ND FLR,NARAIN MA NZIL, B.K. ROAD, C.P.",NA,"(SUPPLY CHAIN MGMT DIVISION) 1,FUSIONOPOLIS PLACE, #15-10 GALAXIS, Singapore - 138522, SINGAPORE, Singapo  Singapore",NA,Delhi,110001,DELHI,919990253928,ciplinbound@canon.co.in,42560535
215,16-06-2023,90021100,16639487 FUJINON LENS GF45-100MMF4 R LM OIS WR LENS FOR FUJIFILM DIGITAL CAMERA,FUJIFILM INDIA PRIVATE LIMITED,FUJIFILM CORPORATION,"BUSINESS CENTRE OFF NO 521 LEVEL V ,CADDIE COMMC TOWER HOSPITALITY DISAEROCITY IGI AIRPORT,",NA,"26-30, NISHIAZABU 2-CHOME MINATO-KUTOKYO 106-8620, JAPAN ",NA,2,NOS,1243.7,18.00000628,2487.4,1243.7,Delhi Air,Japan,2,PCS,102749,INR,439.66,2927.06,Jun-2023,90,9002,NEW DELHI,110037,DELHI,NA,amit.kumar@fujifilm.com,MASAKI  ZENKO,NA,NA,NA,HC,Air,Not Available,"LENSES, PRISMS, MIRRORS AND OTHER OPTICAL ELEMENTS, OF ANY MATERIAL, MOUNTED, BEING PARTS OF OR FITTINGS FOR INSTRUMENTS OR APPARATUS, OTHER THAN SUCH ELEMENTS OF GLASS NOT OPTICALLY WORKED",FUJIFILM INDIA PRIVATE LIMITED,FUJIFILM CORPORATION,"BUSINESS CENTRE OFF NO 521 LEVEL V ,CADDIE COMMC TOWER HOSPITALITY DISAEROCITY IGI AIRPORT,",NA,"26-30, NISHIAZABU 2-CHOME MINATO-KUTOKYO 106 - 8620 TOKYO   ",NA,NEW DELHI,110037,DELHI,NA,amit.kumar@fujifilm.com,42794328
216,16-06-2023,90021100,16576673 GF1.4X TC WR LENS FOR FUJIFILM DIGITAL CAMERA,FUJIFILM INDIA PRIVATE LIMITED,FUJIFILM CORPORATION,"BUSINESS CENTRE OFF NO 521 LEVEL V ,CADDIE COMMC TOWER HOSPITALITY DISAEROCITY IGI AIRPORT,",NA,"26-30, NISHIAZABU 2-CHOME MINATO-KUTOKYO 106-8620, JAPAN ",NA,2,NOS,450.775,18.00004162,901.55,450.78,Delhi Air,Japan,2,PCS,37925,INR,162.28,1063.83,Jun-2023,90,9002,NEW DELHI,110037,DELHI,NA,amit.kumar@fujifilm.com,MASAKI  ZENKO,NA,NA,NA,HC,Air,Not Available,"LENSES, PRISMS, MIRRORS AND OTHER OPTICAL ELEMENTS, OF ANY MATERIAL, MOUNTED, BEING PARTS OF OR FITTINGS FOR INSTRUMENTS OR APPARATUS, OTHER THAN SUCH ELEMENTS OF GLASS NOT OPTICALLY WORKED",FUJIFILM INDIA PRIVATE LIMITED,FUJIFILM CORPORATION,"BUSINESS CENTRE OFF NO 521 LEVEL V ,CADDIE COMMC TOWER HOSPITALITY DISAEROCITY IGI AIRPORT,",NA,"26-30, NISHIAZABU 2-CHOME MINATO-KUTOKYO 106 - 8620 TOKYO   ",NA,NEW DELHI,110037,DELHI,NA,amit.kumar@fujifilm.com,42794329
217,16-06-2023,90021100,5824C003AA RF-S55-210/5-7.1 IS STM Lens,CANON INDIA PRIVATE LIMITED,CANON SINGAPORE PTE LTD,"UNIT NO. 214-218 2ND FLR,NARAIN MA NZIL, B.K. ROAD, C.P.",NA,"(SUPPLY CHAIN MGMT DIVISION) 1,FUSIONOPOLIS PLACE, #15-10 GALAXIS, Singapore - 138522, SINGAPORE, Singapo  Singapore",NA,18,NOS,223.451,30.97999479,4022.11,223.45,Delhi Air,Taiwan,18,NOS,18373,INR,1246.04,5268.15,Jun-2023,90,9002,Delhi,110001,DELHI,919990253928,ciplinbound@canon.co.in,KAZUTADA KOBAYASHI                 ,NA,NA,NA,HC,Air,Not Available,"LENSES, PRISMS, MIRRORS AND OTHER OPTICAL ELEMENTS, OF ANY MATERIAL, MOUNTED, BEING PARTS OF OR FITTINGS FOR INSTRUMENTS OR APPARATUS, OTHER THAN SUCH ELEMENTS OF GLASS NOT OPTICALLY WORKED",CANON INDIA PRIVATE LIMITED,CANON SINGAPORE PTE LTD,"UNIT NO. 214-218 2ND FLR,NARAIN MA NZIL, B.K. ROAD, C.P.",NA,"(SUPPLY CHAIN MGMT DIVISION) 1,FUSIONOPOLIS PLACE, #15-10 GALAXIS, Singapore - 138522, SINGAPORE, Singapo  Singapore",NA,Delhi,110001,DELHI,919990253928,ciplinbound@canon.co.in,42926161
218,16-06-2023,90021100,16240743 F XF18MMF2 R LENS FOR FUJIFILM DIGITAL CAMERA,FUJIFILM INDIA PRIVATE LIMITED,FUJIFILM CORPORATION,"BUSINESS CENTRE OFF NO 521 LEVEL V ,CADDIE COMMC TOWER HOSPITALITY DISAEROCITY IGI AIRPORT,",NA,"26-30, NISHIAZABU 2-CHOME MINATO-KUTOKYO 106-8620, JAPAN ",NA,2,NOS,317.935,18.00008091,635.87,317.94,Delhi Air,Japan,2,PCS,26749,INR,114.45,750.32,Jun-2023,90,9002,NEW DELHI,110037,DELHI,NA,amit.kumar@fujifilm.com,MASAKI  ZENKO,NA,NA,NA,HC,Air,Not Available,"LENSES, PRISMS, MIRRORS AND OTHER OPTICAL ELEMENTS, OF ANY MATERIAL, MOUNTED, BEING PARTS OF OR FITTINGS FOR INSTRUMENTS OR APPARATUS, OTHER THAN SUCH ELEMENTS OF GLASS NOT OPTICALLY WORKED",FUJIFILM INDIA PRIVATE LIMITED,FUJIFILM CORPORATION,"BUSINESS CENTRE OFF NO 521 LEVEL V ,CADDIE COMMC TOWER HOSPITALITY DISAEROCITY IGI AIRPORT,",NA,"26-30, NISHIAZABU 2-CHOME MINATO-KUTOKYO 106 - 8620 TOKYO   ",NA,NEW DELHI,110037,DELHI,NA,amit.kumar@fujifilm.com,42794316
219,16-06-2023,90021100,16276481 F XF14MM F2.8 R LENS FOR FUJIFILM DIGITAL CAMERA,FUJIFILM INDIA PRIVATE LIMITED,FUJIFILM CORPORATION,"BUSINESS CENTRE OFF NO 521 LEVEL V ,CADDIE COMMC TOWER HOSPITALITY DISAEROCITY IGI AIRPORT,",NA,"26-30, NISHIAZABU 2-CHOME MINATO-KUTOKYO 106-8620, JAPAN ",NA,1,NOS,477.35,17.99990112,477.35,477.35,Delhi Air,Japan,1,PCS,40161,INR,85.93,563.28,Jun-2023,90,9002,NEW DELHI,110037,DELHI,NA,amit.kumar@fujifilm.com,MASAKI  ZENKO,NA,NA,NA,HC,Air,Not Available,"LENSES, PRISMS, MIRRORS AND OTHER OPTICAL ELEMENTS, OF ANY MATERIAL, MOUNTED, BEING PARTS OF OR FITTINGS FOR INSTRUMENTS OR APPARATUS, OTHER THAN SUCH ELEMENTS OF GLASS NOT OPTICALLY WORKED",FUJIFILM INDIA PRIVATE LIMITED,FUJIFILM CORPORATION,"BUSINESS CENTRE OFF NO 521 LEVEL V ,CADDIE COMMC TOWER HOSPITALITY DISAEROCITY IGI AIRPORT,",NA,"26-30, NISHIAZABU 2-CHOME MINATO-KUTOKYO 106 - 8620 TOKYO   ",NA,NEW DELHI,110037,DELHI,NA,amit.kumar@fujifilm.com,42794315
220,16-06-2023,90021100,16580155 FUJINON MKX50-135MMT2.9 LENS FOR FUJIFILM DIGITALCAMERA,FUJIFILM INDIA PRIVATE LIMITED,FUJIFILM CORPORATION,"BUSINESS CENTRE OFF NO 521 LEVEL V ,CADDIE COMMC TOWER HOSPITALITY DISAEROCITY IGI AIRPORT,",NA,"26-30, NISHIAZABU 2-CHOME MINATO-KUTOKYO 106-8620, JAPAN ",NA,1,NOS,2325.96,18.00001519,2325.96,2325.96,Delhi Air,Japan,1,PCS,192161,INR,411.12,2737.08,Jun-2023,90,9002,NEW DELHI,110037,DELHI,NA,amit.kumar@fujifilm.com,MASAKI  ZENKO,NA,NA,NA,HC,Air,Not Available,"LENSES, PRISMS, MIRRORS AND OTHER OPTICAL ELEMENTS, OF ANY MATERIAL, MOUNTED, BEING PARTS OF OR FITTINGS FOR INSTRUMENTS OR APPARATUS, OTHER THAN SUCH ELEMENTS OF GLASS NOT OPTICALLY WORKED",FUJIFILM INDIA PRIVATE LIMITED,FUJIFILM CORPORATION,"BUSINESS CENTRE OFF NO 521 LEVEL V ,CADDIE COMMC TOWER HOSPITALITY DISAEROCITY IGI AIRPORT,",NA,"26-30, NISHIAZABU 2-CHOME MINATO-KUTOKYO 106 - 8620 TOKYO   ",NA,NEW DELHI,110037,DELHI,NA,amit.kumar@fujifilm.com,42794331
221,16-06-2023,90021100,16443060 F XF50-140MMF2.8 R LM OIS WR LENS FOR FUJIFILM DIGITAL CAMERA,FUJIFILM INDIA PRIVATE LIMITED,FUJIFILM CORPORATION,"BUSINESS CENTRE OFF NO 521 LEVEL V ,CADDIE COMMC TOWER HOSPITALITY DISAEROCITY IGI AIRPORT,",NA,"26-30, NISHIAZABU 2-CHOME MINATO-KUTOKYO 106-8620, JAPAN ",NA,4,NOS,864.908,18.00001084,3459.63,864.91,Delhi Air,Japan,4,PCS,71455,INR,611.51,4071.14,Jun-2023,90,9002,NEW DELHI,110037,DELHI,NA,amit.kumar@fujifilm.com,MASAKI  ZENKO,NA,NA,NA,HC,Air,Not Available,"LENSES, PRISMS, MIRRORS AND OTHER OPTICAL ELEMENTS, OF ANY MATERIAL, MOUNTED, BEING PARTS OF OR FITTINGS FOR INSTRUMENTS OR APPARATUS, OTHER THAN SUCH ELEMENTS OF GLASS NOT OPTICALLY WORKED",FUJIFILM INDIA PRIVATE LIMITED,FUJIFILM CORPORATION,"BUSINESS CENTRE OFF NO 521 LEVEL V ,CADDIE COMMC TOWER HOSPITALITY DISAEROCITY IGI AIRPORT,",NA,"26-30, NISHIAZABU 2-CHOME MINATO-KUTOKYO 106 - 8620 TOKYO   ",NA,NEW DELHI,110037,DELHI,NA,amit.kumar@fujifilm.com,42794321
222,16-06-2023,90021100,16536661 FUJINON LENS GF120MMF4 R LM OIS WR LENS FOR FUJIFILM DIGITAL CAMERA,FUJIFILM INDIA PRIVATE LIMITED,FUJIFILM CORPORATION,"BUSINESS CENTRE OFF NO 521 LEVEL V ,CADDIE COMMC TOWER HOSPITALITY DISAEROCITY IGI AIRPORT,",NA,"26-30, NISHIAZABU 2-CHOME MINATO-KUTOKYO 106-8620, JAPAN ",NA,2,NOS,1460.145,17.9999949,2920.29,1460.15,Delhi Air,Japan,2,PCS,120631,INR,516.18,3436.47,Jun-2023,90,9002,NEW DELHI,110037,DELHI,NA,amit.kumar@fujifilm.com,MASAKI  ZENKO,NA,NA,NA,HC,Air,Not Available,"LENSES, PRISMS, MIRRORS AND OTHER OPTICAL ELEMENTS, OF ANY MATERIAL, MOUNTED, BEING PARTS OF OR FITTINGS FOR INSTRUMENTS OR APPARATUS, OTHER THAN SUCH ELEMENTS OF GLASS NOT OPTICALLY WORKED",FUJIFILM INDIA PRIVATE LIMITED,FUJIFILM CORPORATION,"BUSINESS CENTRE OFF NO 521 LEVEL V ,CADDIE COMMC TOWER HOSPITALITY DISAEROCITY IGI AIRPORT,",NA,26-30 NISHIAZABU 2-CHOME MINATO -KUTOKYO 106-8620 (SVB/CUS/REV/131/RK dt. 23/12/2015)  ,NA,NEW DELHI,110037,DELHI,NA,amit.kumar@fujifilm.com,42794325
223,16-06-2023,90021100,16443060 F XF50-140MMF2.8 R LM OIS WR LENS FOR FUJIFILM DIGITAL CAMERA,FUJIFILM INDIA PRIVATE LIMITED,FUJIFILM CORPORATION,"BUSINESS CENTRE OFF NO 521 LEVEL V ,CADDIE COMMC TOWER HOSPITALITY DISAEROCITY IGI AIRPORT,",NA,"26-30, NISHIAZABU 2-CHOME MINATO-KUTOKYO 106-8620, JAPAN ",NA,4,NOS,864.908,18.00001084,3459.63,864.91,Delhi Air,Japan,4,PCS,71455,INR,611.51,4071.14,Jun-2023,90,9002,NEW DELHI,110037,DELHI,NA,amit.kumar@fujifilm.com,MASAKI  ZENKO,NA,NA,NA,HC,Air,Not Available,"LENSES, PRISMS, MIRRORS AND OTHER OPTICAL ELEMENTS, OF ANY MATERIAL, MOUNTED, BEING PARTS OF OR FITTINGS FOR INSTRUMENTS OR APPARATUS, OTHER THAN SUCH ELEMENTS OF GLASS NOT OPTICALLY WORKED",FUJIFILM INDIA PRIVATE LIMITED,FUJIFILM CORPORATION,"BUSINESS CENTRE OFF NO 521 LEVEL V ,CADDIE COMMC TOWER HOSPITALITY DISAEROCITY IGI AIRPORT,",NA,"26-30, NISHIAZABU 2-CHOMEMINATO-KUTOKYO 106-8620, ",NA,NEW DELHI,110037,DELHI,NA,amit.kumar@fujifilm.com,42794336
224,16-06-2023,90021100,16586343 FUJINON LENS F XF200MMF2 R LM OIS WR 1.4XTC LENS FOR FUJIFILM DIGITAL CAMERA,FUJIFILM INDIA PRIVATE LIMITED,FUJIFILM CORPORATION,"BUSINESS CENTRE OFF NO 521 LEVEL V ,CADDIE COMMC TOWER HOSPITALITY DISAEROCITY IGI AIRPORT,",NA,"26-30, NISHIAZABU 2-CHOME MINATO-KUTOKYO 106-8620, JAPAN ",NA,1,NOS,2950.03,18.00000448,2950.03,2950.03,Delhi Air,Japan,1,PCS,243719,INR,521.43,3471.46,Jun-2023,90,9002,NEW DELHI,110037,DELHI,NA,amit.kumar@fujifilm.com,MASAKI  ZENKO,NA,NA,NA,HC,Air,Not Available,"LENSES, PRISMS, MIRRORS AND OTHER OPTICAL ELEMENTS, OF ANY MATERIAL, MOUNTED, BEING PARTS OF OR FITTINGS FOR INSTRUMENTS OR APPARATUS, OTHER THAN SUCH ELEMENTS OF GLASS NOT OPTICALLY WORKED",FUJIFILM INDIA PRIVATE LIMITED,FUJIFILM CORPORATION,"BUSINESS CENTRE OFF NO 521 LEVEL V ,CADDIE COMMC TOWER HOSPITALITY DISAEROCITY IGI AIRPORT,",NA,"26-30, NISHIAZABU 2-CHOME MINATO-KUTOKYO 106 - 8620 TOKYO   ",NA,NEW DELHI,110037,DELHI,NA,amit.kumar@fujifilm.com,42794320
225,16-06-2023,90021100,16240755 F XF35MMF1.4 R LENS FOR FUJIFILM DIGITAL CAMERA,FUJIFILM INDIA PRIVATE LIMITED,FUJIFILM CORPORATION,"BUSINESS CENTRE OFF NO 521 LEVEL V ,CADDIE COMMC TOWER HOSPITALITY DISAEROCITY IGI AIRPORT,",NA,"26-30, NISHIAZABU 2-CHOME MINATO-KUTOKYO 106-8620, JAPAN ",NA,5,NOS,323.776,17.9999709,1618.88,323.78,Delhi Air,Japan,5,PCS,26749,INR,286.15,1905.03,Jun-2023,90,9002,NEW DELHI,110037,DELHI,NA,amit.kumar@fujifilm.com,MASAKI  ZENKO,NA,NA,NA,HC,Air,Not Available,"LENSES, PRISMS, MIRRORS AND OTHER OPTICAL ELEMENTS, OF ANY MATERIAL, MOUNTED, BEING PARTS OF OR FITTINGS FOR INSTRUMENTS OR APPARATUS, OTHER THAN SUCH ELEMENTS OF GLASS NOT OPTICALLY WORKED",FUJIFILM INDIA PRIVATE LIMITED,FUJIFILM CORPORATION,"BUSINESS CENTRE OFF NO 521 LEVEL V ,CADDIE COMMC TOWER HOSPITALITY DISAEROCITY IGI AIRPORT,",NA,"26-30, NISHIAZABU 2-CHOME MINATO-KUTOKYO 106 - 8620 TOKYO   ",NA,NEW DELHI,110037,DELHI,NA,amit.kumar@fujifilm.com,42794333
226,16-06-2023,90021100,16536659 FUJINON LENS GF32-64MMF4 R LM WR LENS FOR FUJIFILMDIGITAL CAMERA,FUJIFILM INDIA PRIVATE LIMITED,FUJIFILM CORPORATION,"BUSINESS CENTRE OFF NO 521 LEVEL V ,CADDIE COMMC TOWER HOSPITALITY DISAEROCITY IGI AIRPORT,",NA,"26-30, NISHIAZABU 2-CHOME MINATO-KUTOKYO 106-8620, JAPAN ",NA,1,NOS,1243.7,18.00000715,1243.7,1243.7,Delhi Air,Japan,1,PCS,102749,INR,219.82,1463.52,Jun-2023,90,9002,NEW DELHI,110037,DELHI,NA,amit.kumar@fujifilm.com,MASAKI  ZENKO,NA,NA,NA,HC,Air,Not Available,"LENSES, PRISMS, MIRRORS AND OTHER OPTICAL ELEMENTS, OF ANY MATERIAL, MOUNTED, BEING PARTS OF OR FITTINGS FOR INSTRUMENTS OR APPARATUS, OTHER THAN SUCH ELEMENTS OF GLASS NOT OPTICALLY WORKED",FUJIFILM INDIA PRIVATE LIMITED,FUJIFILM CORPORATION,"BUSINESS CENTRE OFF NO 521 LEVEL V ,CADDIE COMMC TOWER HOSPITALITY DISAEROCITY IGI AIRPORT,",NA,"26-30, NISHIAZABU 2-CHOME MINATO-KUTOKYO 106 - 8620 TOKYO   ",NA,NEW DELHI,110037,DELHI,NA,amit.kumar@fujifilm.com,42794327
227,16-06-2023,90021100,16240767 F XF60MMF2.4 R MACRO LENS FOR FUJIFILM DIGITAL CAMERA,FUJIFILM INDIA PRIVATE LIMITED,FUJIFILM CORPORATION,"BUSINESS CENTRE OFF NO 521 LEVEL V ,CADDIE COMMC TOWER HOSPITALITY DISAEROCITY IGI AIRPORT,",NA,"26-30, NISHIAZABU 2-CHOME MINATO-KUTOKYO 106-8620, JAPAN ",NA,2,NOS,344.5,17.99998904,689,344.5,Delhi Air,Japan,2,PCS,28984,INR,124.03,813.03,Jun-2023,90,9002,NEW DELHI,110037,DELHI,NA,amit.kumar@fujifilm.com,MASAKI  ZENKO,NA,NA,NA,HC,Air,Not Available,"LENSES, PRISMS, MIRRORS AND OTHER OPTICAL ELEMENTS, OF ANY MATERIAL, MOUNTED, BEING PARTS OF OR FITTINGS FOR INSTRUMENTS OR APPARATUS, OTHER THAN SUCH ELEMENTS OF GLASS NOT OPTICALLY WORKED",FUJIFILM INDIA PRIVATE LIMITED,FUJIFILM CORPORATION,"BUSINESS CENTRE OFF NO 521 LEVEL V ,CADDIE COMMC TOWER HOSPITALITY DISAEROCITY IGI AIRPORT,",NA,"26-30, NISHIAZABU 2-CHOME MINATO-KUTOKYO 106 - 8620 TOKYO   ",NA,NEW DELHI,110037,DELHI,NA,amit.kumar@fujifilm.com,42794319
228,17-06-2023,90021100,16240767 F XF60MMF2.4 R MACRO   SPARE PARTS / ACCESSORIES / COMPONENT  FOR DIGITAL CAMERA,FUJIFILM INDIA PRIVATE LIMITED,FUJIFILM CORPORATION,"BUSINESS CENTRE OFF NO 521 LEVEL V ,CADDIE COMMC TOWER HOSPITALITY DISAEROCITY IGI AIRPORT,",NA,"26-30, NISHIAZABU 2-CHOME MINATO-KUTOKYO 106-8620, JAPAN ",NA,1,NOS,344.15,18.00010149,344.15,344.15,Bombay Air,Japan,1,PCS,28984,INR,61.95,406.1,Jun-2023,90,9002,NEW DELHI,110037,DELHI,NA,amit.kumar@fujifilm.com,MASAKI  ZENKO,NA,NA,NA,HC,Air,Not Available,"LENSES, PRISMS, MIRRORS AND OTHER OPTICAL ELEMENTS, OF ANY MATERIAL, MOUNTED, BEING PARTS OF OR FITTINGS FOR INSTRUMENTS OR APPARATUS, OTHER THAN SUCH ELEMENTS OF GLASS NOT OPTICALLY WORKED",FUJIFILM INDIA PRIVATE LIMITED,FUJIFILM CORPORATION,"BUSINESS CENTRE OFF NO 521 LEVEL V ,CADDIE COMMC TOWER HOSPITALITY DISAEROCITY IGI AIRPORT,",NA,"26-30,NISHIAZABU 2-CHOME MINATO-KUTOKYO 106-8620 JAPAN  JAPAN",NA,NEW DELHI,110037,DELHI,NA,amit.kumar@fujifilm.com,42202262
